各列含意：
1.Samples（样本数）：表示采样器在程序执行期间捕获到该函数的样本数。
2.Percentage（百分比）：显示该函数占所有样本的百分比。它表示该函数在程序执行期间消耗的时间和资源的相对比例。
3.Cumulative Percentage（累积百分比）：表示当前函数及其上层调用函数的总体百分比。它表示当前函数及其上层调用函数在程序执行期间消耗的时间或资源的累积比例。
4.Self（自身开销）：表示当前函数自身消耗的时间或资源。它通常是除去当前函数调用的子函数开销后，当前函数剩余的开销。
5.Cumulative Self（累积自身开销）：表示当前函数及其上层调用函数的总体自身开销。它表示当前函数及其上层调用函数在程序执行期间剩余的自身开销的累积值。
6.Function Name（函数名称）：被分析的函数的名称。

Total: 6541 samples
     596   9.1%   9.1%      596   9.1% send
       8   0.1%  88.4%      263   4.0% ws::WriteLoop::SendFile
       7   0.1%  88.5%      152   2.3% std::_Function_base::_Base_manager::_M_manager
       7   0.1%  88.6%      136   2.1% std::_Function_base::~_Function_base
       7   0.1%  88.7%        7   0.1% std::_Hashtable::_M_begin
       7   0.1%  88.8%        7   0.1% std::__detail::_Hashtable_ebo_helper::_M_cget
       7   0.1%  88.9%        7   0.1% std::__is_constant_evaluated
       7   0.1%  89.0%       44   0.7% std::unordered_map::operator[]
       7   0.1%  89.1%       17   0.3% ws::EpollEvent_Result::operator[]@b610
       7   0.1%  89.2%       41   0.6% ws::FileProxy::Statget
       7   0.1%  89.3%     2965  45.3% ws::Member::DoRead
       7   0.1%  89.4%        8   0.1% ws::Member::fd &
       7   0.1%  89.5%        7   0.1% ws::ParsedHeader::ReadPtr
       7   0.1%  89.6%        7   0.1% ws::ParsedHeader::Readable
       7   0.1%  89.8%       25   0.4% ws::UserBuffer::SWrite
       7   0.1%  89.9%       14   0.2% ws::UserBuffer::Write
       7   0.1%  90.0%       88   1.3% ws::WriteLoop::swrite
       7   0.1%  90.1%        7   0.1% ws::isheader
       6   0.1%  90.2%        6   0.1% __gnu_cxx::__normal_iterator::__normal_iterator
       6   0.1%  90.3%        8   0.1% std::_Function_base::_Base_manager::_M_get_pointer
       6   0.1%  90.4%      907  13.9% std::_Function_handler::_M_invoke
       6   0.1%  90.4%       47   0.7% std::_Hashtable::_M_find_node
       6   0.1%  90.5%       22   0.3% std::_Hashtable::end
       6   0.1%  90.6%        8   0.1% std::_Hashtable::rehash
       6   0.1%  90.7%       11   0.2% std::__detail::_Hash_code_base::_M_bucket_index
       6   0.1%  90.8%       20   0.3% std::__detail::_Hash_code_base::_M_hash_code
       6   0.1%  90.9%        6   0.1% std::__detail::_Hash_node_base::_Hash_node_base
       6   0.1%  91.0%        6   0.1% std::__detail::_Hashtable_ebo_helper::_M_get
       6   0.1%  91.1%       36   0.6% std::__detail::_Map_base::operator[]
       6   0.1%  91.2%        6   0.1% std::__shared_count::_M_swap
       6   0.1%  91.3%      185   2.8% std::__shared_ptr::__shared_ptr
       6   0.1%  91.4%        8   0.1% std::deque::push_back
       6   0.1%  91.5%      144   2.2% std::function::~function
       6   0.1%  91.5%        6   0.1% std::operator==@f54c
       6   0.1%  91.6%      191   2.9% std::shared_ptr::shared_ptr
       6   0.1%  91.7%      138   2.1% std::unordered_map::emplace
       6   0.1%  91.8%      537   8.2% ws::Epoll::Epoll_Wait@b868
       6   0.1%  91.9%     1425  21.8% ws::HttpParser::Starting_Parser
       6   0.1%  92.0%        6   0.1% ws::Provider::IsFilename
       5   0.1%  92.1%        8   0.1% __gnu_cxx::__aligned_buffer::_M_ptr
       5   0.1%  92.2%        5   0.1% __gnu_cxx::__normal_iterator::operator++
       5   0.1%  92.2%        5   0.1% __vsnprintf@@GLIBC_2.2.5
       5   0.1%  92.3%        5   0.1% std::_Deque_base::_M_get_Tp_allocator
       5   0.1%  92.4%       15   0.2% std::_Function_base::_Base_manager::_M_create
       5   0.1%  92.5%       30   0.5% std::_Function_base::_Base_manager::_M_init_functor
       5   0.1%  92.5%        5   0.1% std::_Function_base::_Base_manager::_M_not_empty_function
       5   0.1%  92.6%       15   0.2% std::__detail::_Hash_node_value_base::_M_v
       5   0.1%  92.7%        5   0.1% std::__detail::_Mod_range_hashing::operator
       5   0.1%  92.8%       21   0.3% std::__detail::_Node_const_iterator::_Node_const_iterator
       5   0.1%  92.8%        5   0.1% std::__detail::_Prime_rehash_policy::_M_next_bkt
       5   0.1%  92.9%        5   0.1% std::hash::operator
       5   0.1%  93.0%        5   0.1% std::vector::size
       5   0.1%  93.1%      191   2.9% ws::Epoll::Add@b75a
       5   0.1%  93.2%       11   0.2% ws::Epoll::Epoll_Wait@b894
       5   0.1%  93.2%      436   6.7% ws::Manger::JudgeToClose
       5   0.1%  93.3%        5   0.1% ws::ParsedHeader::ParsedHeaderIsEqual@59416
       5   0.1%  93.4%        5   0.1% ws::UserBuffer::Move_Buffer
       5   0.1%  93.5%       14   0.2% ws::UserBuffer::ReadPtr
       5   0.1%  93.5%      774  11.8% ws::Web_Server::Running
       4   0.1%  93.6%        4   0.1% __gnu_cxx::__aligned_buffer::_M_addr
       4   0.1%  93.7%       14   0.2% __gnu_cxx::__ops::_Iter_less_iter::operator
       4   0.1%  93.7%       18   0.3% std::_Hashtable::_M_insert_unique_node
       4   0.1%  93.8%       45   0.7% std::_Hashtable::find
       4   0.1%  93.8%        4   0.1% std::_Hashtable::size
       4   0.1%  93.9%        4   0.1% std::__addressof
       4   0.1%  94.0%       47   0.7% std::__detail::_Hashtable_alloc::_M_deallocate_nodes
       4   0.1%  94.0%        9   0.1% std::__detail::_Hashtable_alloc::_M_node_allocator
       4   0.1%  94.1%        4   0.1% std::__detail::_Prime_rehash_policy::_M_need_rehash
       4   0.1%  94.1%        5   0.1% std::__detail::_Select1st::operator
       4   0.1%  94.2%        4   0.1% std::__detail::__to_chars_len
       4   0.1%  94.3%      896  13.7% std::__invoke_r
       4   0.1%  94.3%      117   1.8% std::__shared_count::~__shared_count
       4   0.1%  94.4%      123   1.9% std::__shared_ptr::~__shared_ptr
       4   0.1%  94.5%        7   0.1% std::deque::_M_destroy_data_aux
       4   0.1%  94.5%        4   0.1% std::equal_to::operator
       4   0.1%  94.6%       51   0.8% std::unordered_map::find
       4   0.1%  94.6%        4   0.1% strftime@@GLIBC_2.2.5
       4   0.1%  94.7%       56   0.9% ws::Epoll::Modify@b806
       4   0.1%  94.8%        5   0.1% ws::Epoll::Remove@15cba
       4   0.1%  94.8%       13   0.2% ws::EpollEvent::EpollEvent
       4   0.1%  94.9%        4   0.1% ws::HttpParser::Parser_able
       4   0.1%  94.9%       46   0.7% ws::HttpParser::SetRequesting
       4   0.1%  95.0%      101   1.5% ws::HttpRequest::clear
       4   0.1%  95.1%      412   6.3% ws::Manger::Opera_Member
       4   0.1%  95.1%      161   2.5% ws::Member::clear
       4   0.1%  95.2%        4   0.1% ws::channel::return_ptr
       4   0.1%  95.2%        4   0.1% ws::isuri
       3   0.0%  95.3%        3   0.0% __errno_location@@GLIBC_2.2.5
       3   0.0%  95.3%        3   0.0% __gnu_cxx::__normal_iterator::base
       3   0.0%  95.4%       25   0.4% __gnu_cxx::__ops::_Iter_pred::operator
       3   0.0%  95.4%      136   2.1% std::_Construct
       3   0.0%  95.5%        3   0.0% std::_Function_base::_Function_base
       3   0.0%  95.5%        7   0.1% std::_Hashtable::begin
